epoch,accuracy,loss,val_accuracy,val_loss
0,0.5078666806221008,4.709005832672119,0.850600004196167,1.3902771472930908
1,0.7946166396141052,1.5700864791870117,0.9208999872207642,0.9049124121665955
2,0.8477333188056946,1.2330282926559448,0.9501000046730042,0.7175569534301758
3,0.882183313369751,1.0403647422790527,0.9272000193595886,0.9017765522003174
4,0.8996000289916992,0.9310624599456787,0.9544000029563904,0.7425808906555176
5,0.9133833050727844,0.860246479511261,0.9593999981880188,0.7083513736724854
6,0.9223333597183228,0.7887181043624878,0.961899995803833,0.6688818335533142
7,0.9271000027656555,0.7713211178779602,0.9710999727249146,0.5609335899353027
8,0.93586665391922,0.702812671661377,0.972100019454956,0.5858049392700195
9,0.942633330821991,0.6565994024276733,0.9643999934196472,0.6451454758644104
10,0.947350025177002,0.6348077654838562,0.9718999862670898,0.576703667640686
11,0.9486500024795532,0.6112552285194397,0.9722999930381775,0.5355281233787537
12,0.95169997215271,0.5984946489334106,0.975600004196167,0.49831458926200867
13,0.9565500020980835,0.5535125136375427,0.9350000023841858,0.7851571440696716
14,0.9532333612442017,0.5708982944488525,0.9807000160217285,0.463001012802124
15,0.9592999815940857,0.5359682440757751,0.9761000275611877,0.5050770044326782
16,0.9502166509628296,0.5887528657913208,0.9686999917030334,0.6621360182762146
17,0.9594666957855225,0.5306426286697388,0.9782999753952026,0.46920156478881836
18,0.9631333351135254,0.4904128313064575,0.9772999882698059,0.4754297733306885
19,0.9664499759674072,0.46398797631263733,0.9805999994277954,0.4451897442340851
20,0.9696499705314636,0.4385228455066681,0.9840999841690063,0.4087761342525482
21,0.9734166860580444,0.4177047610282898,0.983299970626831,0.40941521525382996
22,0.9667666554450989,0.44721877574920654,0.9830999970436096,0.414933443069458
23,0.9706500172615051,0.4227994382381439,0.98580002784729,0.38119474053382874
24,0.9703333377838135,0.4250107407569885,0.984499990940094,0.38632825016975403
25,0.9726166725158691,0.3951822817325592,0.9713000059127808,0.5927777290344238
26,0.9757999777793884,0.3671940863132477,0.9864000082015991,0.37550249695777893
27,0.9770500063896179,0.3562467098236084,0.9840999841690063,0.37227892875671387
28,0.9797166585922241,0.330633282661438,0.9843000173568726,0.4006682336330414
29,0.9807666540145874,0.3236893117427826,0.9876000285148621,0.3419382572174072
30,0.9824833273887634,0.30652475357055664,0.9861000180244446,0.38037559390068054
31,0.9818166494369507,0.299512654542923,0.9855999946594238,0.3635493218898773
32,0.9846000075340271,0.28578001260757446,0.9876999855041504,0.331073135137558
33,0.9856500029563904,0.27349498867988586,0.9878000020980835,0.34459808468818665
34,0.9839333295822144,0.280254989862442,0.9883999824523926,0.3221808969974518
35,0.9864166378974915,0.2603195607662201,0.9876999855041504,0.31443411111831665
36,0.9864333271980286,0.25944045186042786,0.9900000095367432,0.30905938148498535
37,0.9890999794006348,0.24955880641937256,0.9897000193595886,0.31728118658065796
38,0.9887166619300842,0.24014915525913239,0.9890000224113464,0.3161330223083496
39,0.9888166785240173,0.2369341403245926,0.9898999929428101,0.30380263924598694
40,0.9901166558265686,0.22840654850006104,0.9898999929428101,0.2936483919620514
41,0.9901666641235352,0.22742879390716553,0.9901000261306763,0.3068426847457886
42,0.990066647529602,0.22545185685157776,0.9901999831199646,0.2970688045024872
43,0.9908999800682068,0.2232571244239807,0.989799976348877,0.2995220422744751
44,0.9912833571434021,0.22070181369781494,0.9900000095367432,0.29772889614105225
45,0.9920499920845032,0.21742738783359528,0.9900000095367432,0.29999294877052307
46,0.990933358669281,0.2214958667755127,0.9901000261306763,0.29693275690078735
47,0.9920666813850403,0.21874001622200012,0.9898999929428101,0.2974652647972107
48,0.9912999868392944,0.21658313274383545,0.9902999997138977,0.2971350848674774
49,0.9921666383743286,0.21594831347465515,0.989799976348877,0.29926005005836487
